UserID,last_session,first_session,session_count,avg_duration,avg_demand,total_demand,num_chargers_used,num_locations_used,tenure_days,days_since_last_session,churned,common_charger_type,common_location,common_company
17,2022-09-28 08:58:00,2022-05-03 22:40:00,62,39.41935483870968,16.78274193548387,1040.53,27,8,147,2,0,1,public parking lot,0
18,2022-09-25 19:27:00,2021-10-07 19:15:00,70,88.77142857142857,19.037285714285712,1332.61,21,4,353,5,0,1,public institution,0
19,2022-09-21 18:06:00,2022-09-01 08:22:00,13,36.07692307692308,21.134615384615383,274.75,5,2,20,9,0,1,public institution,0
20,2022-09-27 16:50:00,2021-10-05 15:14:00,137,114.27007299270073,11.685620437956205,1600.93,5,1,357,3,0,0,company,1
21,2022-09-06 13:43:00,2021-10-12 15:08:00,41,147.21951219512195,12.793658536585365,524.54,5,1,328,24,0,0,company,1
22,2022-09-30 17:16:00,2022-07-18 16:39:00,49,144.89795918367346,8.29142857142857,406.28,7,4,74,0,0,0,apartment,0
23,2022-09-30 15:46:00,2021-10-26 12:49:00,54,106.98148148148148,11.781851851851853,636.22,6,1,339,0,0,0,apartment,1
24,2022-09-28 12:17:00,2022-05-20 09:49:00,28,67.21428571428571,15.907499999999999,445.40999999999997,25,9,131,2,0,1,sightseeing,0
25,2022-01-07 11:39:00,2021-11-11 07:37:00,3,25.666666666666668,7.773333333333333,23.32,3,2,57,266,1,0,public parking lot,0
26,2022-09-30 15:53:00,2022-07-18 19:00:00,24,172.625,25.583333333333332,614.0,14,6,73,0,0,0,camping,0
27,2022-09-30 13:32:00,2022-04-16 08:41:00,107,93.23364485981308,9.016542056074766,964.77,19,7,167,0,0,0,apartment,0
28,2022-09-27 22:32:00,2022-07-06 12:31:00,84,51.654761904761905,18.709999999999997,1571.6399999999999,29,8,83,3,0,1,company,0
29,2022-09-29 17:17:00,2021-10-01 15:32:00,204,104.6029411764706,11.478529411764706,2341.62,6,1,363,1,0,0,company,1
30,2022-09-29 18:28:00,2022-02-17 17:19:00,195,43.35897435897436,29.90830769230769,5832.12,45,6,224,1,0,1,public area,0
31,2022-09-30 18:30:00,2021-12-10 17:13:00,353,98.59490084985836,5.5537110481586405,1960.46,36,7,294,0,0,0,apartment,1
32,2022-09-28 08:06:00,2022-01-03 07:58:00,93,141.25806451612902,17.471182795698923,1624.82,10,3,268,2,0,0,public institution,0
33,2022-09-30 12:20:00,2022-06-17 20:50:00,59,85.0677966101695,14.20271186440678,837.96,18,7,104,0,0,0,apartment,0
34,2022-09-30 20:36:00,2022-07-15 12:15:00,35,23.314285714285713,15.008,525.28,10,5,77,0,0,1,apartment,0
35,2022-09-28 20:38:00,2022-01-21 22:42:00,35,183.6,24.078285714285716,842.74,14,5,249,2,0,0,apartment,0
36,2022-09-30 12:20:00,2021-10-28 07:31:00,300,156.18666666666667,18.135833333333334,5440.75,4,2,337,0,0,0,public area,1
37,2022-09-29 18:22:00,2022-01-26 13:38:00,81,45.7037037037037,19.912592592592592,1612.92,22,8,246,1,0,1,public parking lot,0
38,2022-09-29 19:37:00,2021-10-30 20:00:00,169,409.93491124260356,6.167455621301775,1042.3,6,3,333,1,0,0,apartment,0
39,2022-09-15 16:42:00,2022-07-27 22:51:00,3,270.0,8.459999999999999,25.38,3,3,49,15,0,0,apartment,0
40,2022-09-30 20:41:00,2021-10-03 17:40:00,323,136.625386996904,7.791362229102168,2516.61,51,11,362,0,0,0,public area,0
41,2022-09-29 18:14:00,2022-04-20 20:25:00,146,22.226027397260275,14.046369863013698,2050.77,34,8,161,1,0,1,public area,0
42,2022-09-25 10:12:00,2022-03-08 20:12:00,73,121.65753424657534,13.853424657534246,1011.3,5,1,200,5,0,0,apartment,1
43,2022-09-30 00:30:00,2022-09-06 20:14:00,9,371.77777777777777,44.284444444444446,398.56,3,2,23,0,0,0,public area,0
44,2022-09-29 17:58:00,2022-07-05 12:49:00,93,50.655913978494624,21.216236559139787,1973.1100000000001,40,10,86,1,0,1,public area,0
45,2022-09-27 19:54:00,2022-08-11 18:29:00,43,92.09302325581395,29.246976744186043,1257.62,11,6,47,3,0,1,public area,0
46,2022-09-29 00:50:00,2022-07-12 02:37:00,25,333.44,18.6672,466.68,3,1,78,1,0,0,public institution,1
47,2022-09-27 17:55:00,2022-08-24 19:34:00,11,149.63636363636363,17.873636363636365,196.61,5,3,33,3,0,0,company,1
48,2022-09-01 10:18:00,2022-08-16 11:32:00,2,37.5,24.36,48.72,1,1,15,29,0,1,public institution,0
49,2022-09-27 18:12:00,2022-06-20 21:30:00,29,259.44827586206895,36.30034482758621,1052.71,16,7,98,3,0,0,public area,0
50,2022-09-29 17:03:00,2022-08-04 14:52:00,13,34.23076923076923,20.474615384615387,266.17,4,3,56,1,0,1,apartment,0
51,2022-09-30 14:53:00,2021-10-01 17:20:00,37,36.432432432432435,24.225675675675678,896.35,4,3,363,0,0,1,public parking lot,0
52,2022-09-15 13:43:00,2022-08-05 20:45:00,19,37.94736842105263,24.23157894736842,460.4,15,5,40,15,0,1,public institution,0
53,2022-09-29 19:06:00,2022-05-02 11:57:00,56,36.44642857142857,22.914107142857144,1283.19,2,1,150,1,0,1,public area,0
54,2022-09-30 19:02:00,2022-03-21 11:32:00,166,146.75903614457832,14.010120481927709,2325.68,7,3,193,0,0,0,restaurant,0
55,2022-09-30 09:34:00,2022-03-15 13:06:00,91,46.62637362637363,22.294945054945053,2028.84,31,7,198,0,0,1,resort,0
56,2022-09-30 08:46:00,2021-10-09 09:27:00,26,41.88461538461539,13.591153846153846,353.37,10,5,355,0,0,1,public parking lot,0
57,2022-09-15 13:19:00,2022-03-22 10:19:00,18,36.22222222222222,26.781111111111112,482.06,2,1,177,15,0,1,public area,0
58,2022-09-15 06:58:00,2022-07-14 06:27:00,9,218.11111111111111,30.08666666666667,270.78000000000003,6,4,63,15,0,0,public area,0
59,2022-09-17 16:17:00,2021-10-31 17:52:00,4,78.25,19.5525,78.21,4,3,320,13,0,0,public parking lot,0
60,2022-09-28 12:47:00,2021-10-05 13:39:00,106,62.68867924528302,9.376509433962264,993.91,37,8,357,2,0,0,public institution,0
61,2022-09-29 14:51:00,2021-10-01 17:27:00,67,27.417910447761194,15.508059701492536,1039.04,14,2,362,1,0,1,public area,0
62,2022-09-29 11:12:00,2022-01-07 11:08:00,88,26.863636363636363,13.673977272727273,1203.31,3,3,265,1,0,1,public parking lot,0
63,2022-09-29 09:03:00,2021-11-02 13:09:00,105,204.62857142857143,20.55552380952381,2158.33,14,4,330,1,0,0,hotel,0
64,2022-09-30 06:49:00,2021-10-01 05:12:00,82,92.6829268292683,11.719146341463414,960.97,13,5,364,0,0,0,apartment,1
65,2022-09-15 07:13:00,2022-03-28 07:34:00,10,306.5,34.047000000000004,340.47,1,1,170,15,0,0,public area,1
66,2022-09-27 12:05:00,2022-08-14 09:08:00,12,30.75,26.849999999999998,322.2,6,2,44,3,0,1,public area,0
67,2022-09-30 12:56:00,2022-07-12 16:32:00,43,126.4186046511628,11.950697674418604,513.88,4,4,79,0,0,0,golf,0
68,2022-09-30 12:03:00,2021-10-09 19:27:00,191,11.115183246073299,3.484973821989529,665.63,24,6,355,0,0,1,public institution,0
69,2022-09-30 22:10:00,2022-09-15 11:20:00,7,68.42857142857143,15.692857142857141,109.85,3,3,15,0,0,1,public parking lot,0
70,2022-09-30 09:18:00,2021-10-01 11:43:00,196,189.30612244897958,17.08066326530612,3347.81,5,1,363,0,0,0,public area,1
71,2022-09-23 11:15:00,2021-10-08 10:14:00,200,66.38,16.1483,3229.66,44,9,350,7,0,1,public area,0
72,2022-09-30 10:19:00,2022-09-01 14:13:00,15,32.2,14.158666666666667,212.38,12,6,28,0,0,1,public institution,0
73,2022-09-30 10:42:00,2022-01-03 09:54:00,118,132.6949152542373,12.583135593220339,1484.81,9,4,270,0,0,0,apartment,0
74,2022-09-29 15:03:00,2021-10-16 16:07:00,245,24.616326530612245,10.651469387755103,2609.61,66,7,347,1,0,1,market,0
75,2022-09-30 09:31:00,2021-10-04 06:50:00,204,26.470588235294116,15.663088235294117,3195.27,15,6,361,0,0,1,public institution,0
76,2022-09-30 13:23:00,2021-10-01 13:26:00,132,196.28787878787878,8.856136363636363,1169.01,7,5,363,0,0,0,public area,1
77,2022-09-29 12:39:00,2021-10-06 09:37:00,53,83.49056603773585,20.072452830188677,1063.84,26,6,358,1,0,1,public institution,0
78,2022-09-15 10:18:00,2022-01-24 13:59:00,3,33.333333333333336,17.76,53.28,3,3,233,15,0,1,market,0
79,2022-09-29 12:26:00,2022-05-13 10:41:00,130,131.1,13.618538461538462,1770.41,1,1,139,1,0,0,restaurant,1
80,2022-09-30 13:36:00,2021-10-02 15:54:00,160,24.43125,7.6453125,1223.25,20,4,362,0,0,1,public area,0
81,2022-09-20 08:41:00,2021-11-10 16:13:00,47,50.91489361702128,16.57723404255319,779.13,14,5,313,10,0,1,apartment,0
82,2022-09-29 11:51:00,2022-08-30 16:49:00,14,88.92857142857143,7.993571428571428,111.91,6,4,29,1,0,0,apartment,0
83,2022-09-28 08:01:00,2022-01-14 18:38:00,107,55.271028037383175,29.34355140186916,3139.76,14,7,256,2,0,1,restaurant,0
84,2022-09-15 06:39:00,2021-11-07 13:45:00,43,179.02325581395348,8.453953488372093,363.52,7,3,311,15,0,0,restaurant,0
85,2022-09-30 08:53:00,2022-02-19 08:32:00,29,61.96551724137931,11.838965517241379,343.33,10,4,223,0,0,1,apartment,0
86,2022-09-27 18:08:00,2021-12-01 17:43:00,236,177.1822033898305,6.889915254237288,1626.02,17,6,300,3,0,0,apartment,1
87,2022-09-30 05:45:00,2021-10-01 04:41:00,178,83.5505617977528,9.705617977528089,1727.6,13,2,364,0,0,0,public institution,0
88,2022-09-27 23:10:00,2021-11-18 13:19:00,140,132.37142857142857,7.815357142857144,1094.15,10,5,313,2,0,0,public institution,0
89,2022-09-19 06:12:00,2022-05-24 06:18:00,89,101.21348314606742,10.557415730337079,939.61,2,1,117,11,0,0,apartment,0
90,2022-09-17 21:22:00,2021-12-15 17:03:00,43,252.65116279069767,9.883720930232558,425.0,2,1,276,13,0,0,company,1
91,2022-09-27 07:31:00,2021-10-01 17:11:00,103,42.63106796116505,18.3226213592233,1887.23,20,8,360,3,0,1,public institution,0
92,2022-09-28 20:51:00,2021-11-13 10:02:00,100,34.12,25.0333,2503.33,22,6,319,2,0,1,market,0
93,2022-09-27 08:59:00,2022-01-01 18:42:00,90,152.6,16.177555555555557,1455.98,16,3,268,3,0,0,public institution,0
94,2022-09-15 06:10:00,2022-05-15 10:55:00,22,123.36363636363636,6.785,149.27,3,1,122,15,0,0,golf,1
95,2022-09-30 15:22:00,2022-02-11 22:45:00,348,247.81034482758622,27.649339080459768,9621.97,12,4,230,0,0,0,apartment,1
96,2022-09-30 19:45:00,2022-07-17 12:13:00,62,324.83870967741933,37.8708064516129,2347.99,5,1,75,0,0,0,apartment,1
97,2022-09-29 21:19:00,2022-06-03 10:36:00,44,106.3409090909091,5.9775,263.01,3,2,118,1,0,0,apartment,0
98,2022-09-29 15:14:00,2021-10-01 17:44:00,122,329.04918032786884,32.97360655737705,4022.78,2,1,362,1,0,0,apartment,1
99,2022-09-28 19:20:00,2021-10-01 19:22:00,43,382.25581395348837,41.676511627906976,1792.09,5,1,361,2,0,0,apartment,1
100,2022-09-28 19:50:00,2022-03-06 09:53:00,75,134.61333333333334,20.432933333333335,1532.47,24,10,206,2,0,1,hotel,0
101,2022-09-23 20:15:00,2021-10-16 19:18:00,36,359.69444444444446,42.954166666666666,1546.35,7,3,342,7,0,0,apartment,1
102,2022-09-28 17:08:00,2021-09-30 17:14:00,154,429.25324675324674,24.208831168831168,3728.16,2,1,362,2,0,0,public institution,1
103,2022-09-26 17:39:00,2021-10-01 18:14:00,75,361.29333333333335,39.4816,2961.12,7,3,359,4,0,0,camping,1
104,2022-09-21 18:27:00,2021-09-30 18:22:00,52,427.09615384615387,48.86057692307692,2540.75,2,1,356,9,0,0,resort,1
105,2022-09-29 19:03:00,2021-09-30 18:57:00,215,285.48837209302326,30.86106976744186,6635.13,5,1,364,1,0,0,camping,1
106,2022-09-29 08:18:00,2022-01-13 21:16:00,203,232.39408866995075,25.414679802955668,5159.18,11,3,258,1,0,0,apartment,0
107,2022-09-30 18:37:00,2022-03-26 09:38:00,149,382.61744966442956,9.913489932885906,1477.11,7,2,188,0,0,0,apartment,0
108,2022-09-30 19:55:00,2022-01-01 17:29:00,118,175.864406779661,10.544152542372881,1244.21,13,5,272,0,0,0,restaurant,0
109,2022-09-30 20:20:00,2021-10-11 18:52:00,107,136.9158878504673,16.04289719626168,1716.59,7,3,354,0,0,0,apartment,1
111,2022-09-14 21:25:00,2022-09-14 21:25:00,1,29.0,15.59,15.59,1,1,0,16,0,1,public institution,0
112,2022-09-14 17:47:00,2022-02-11 17:03:00,74,156.2972972972973,8.174054054054054,604.88,14,4,215,16,0,0,resort,0
113,2022-09-29 17:42:00,2022-06-08 19:07:00,49,119.75510204081633,19.041428571428572,933.03,6,3,112,1,0,1,apartment,0
114,2022-09-27 21:37:00,2022-03-04 15:36:00,65,35.353846153846156,28.250615384615383,1836.29,20,5,207,3,0,1,market,0
115,2022-09-29 19:26:00,2021-11-18 19:39:00,68,195.5441176470588,23.748970588235295,1614.93,9,2,314,1,0,0,public area,1
116,2022-09-27 22:40:00,2021-10-16 16:12:00,72,54.27777777777778,23.83111111111111,1715.84,36,7,346,2,0,1,public area,0
117,2022-09-29 20:02:00,2022-06-30 13:13:00,17,97.76470588235294,38.67235294117648,657.4300000000001,9,4,91,1,0,1,hotel,0
118,2022-09-30 19:27:00,2022-06-29 20:32:00,46,131.95652173913044,7.178260869565217,330.2,5,1,92,0,0,0,resort,0
119,2022-09-30 12:45:00,2021-12-24 20:44:00,125,31.248,23.6764,2959.55,23,6,279,0,0,1,public institution,0
120,2022-09-27 17:44:00,2022-08-25 17:54:00,20,198.65,6.855500000000001,137.11,1,1,32,3,0,0,company,0
121,2022-09-25 20:17:00,2021-10-04 14:05:00,82,22.024390243902438,10.403658536585366,853.1,15,5,356,5,0,1,market,0
122,2022-09-23 05:42:00,2022-05-21 13:40:00,19,54.68421052631579,15.369473684210526,292.02,18,7,124,7,0,1,public area,0
123,2022-09-30 17:15:00,2021-10-03 07:54:00,138,135.09420289855072,7.287536231884058,1005.68,23,6,362,0,0,0,public institution,0
124,2022-09-25 18:50:00,2022-01-18 20:10:00,119,123.72268907563026,14.329915966386555,1705.26,17,5,249,5,0,0,apartment,1
125,2022-09-29 21:00:00,2021-10-16 16:10:00,86,52.51162790697674,11.924186046511629,1025.48,12,5,348,1,0,1,public area,0
126,2022-09-14 18:26:00,2022-09-14 18:26:00,1,40.0,2.8,2.8,1,1,0,16,0,1,public parking lot,0
127,2022-09-30 16:54:00,2021-10-01 14:54:00,123,90.3739837398374,10.050569105691057,1236.22,7,2,364,0,0,0,apartment,1
128,2022-09-30 11:21:00,2022-05-24 14:11:00,63,137.17460317460316,7.207301587301587,454.06,2,1,128,0,0,0,apartment,1
129,2022-09-27 11:47:00,2021-10-08 16:59:00,48,215.14583333333334,9.9575,477.96,13,6,353,3,0,0,sightseeing,0
130,2022-09-19 17:34:00,2022-08-31 17:05:00,5,60.6,20.016,100.08,4,2,19,11,0,1,public parking lot,0
131,2022-09-14 13:45:00,2021-10-06 16:30:00,37,185.56756756756758,16.783783783783782,621.0,14,4,342,16,0,0,public institution,0
132,2022-09-30 09:27:00,2022-03-23 11:04:00,174,186.5977011494253,8.340344827586208,1451.22,7,5,190,0,0,0,hotel,0
133,2022-09-29 13:05:00,2022-03-11 15:54:00,109,33.34862385321101,16.491192660550457,1797.54,18,4,201,1,0,1,public institution,0
134,2022-09-27 20:55:00,2021-11-03 17:09:00,22,197.1818181818182,29.86590909090909,657.05,13,5,328,3,0,0,public area,1
135,2022-09-28 19:56:00,2021-10-02 04:50:00,76,337.61842105263156,38.504210526315795,2926.32,13,5,361,2,0,0,resort,0
136,2022-09-30 08:38:00,2021-10-09 18:17:00,51,36.27450980392157,21.892941176470586,1116.54,8,5,355,0,0,1,public institution,0
137,2022-09-30 14:07:00,2022-06-27 13:40:00,19,178.68421052631578,17.629473684210524,334.96,3,3,95,0,0,0,public institution,1
138,2022-09-25 08:05:00,2022-05-26 21:59:00,24,109.66666666666667,18.27958333333333,438.71,20,7,121,5,0,1,hotel,0
139,2022-09-29 15:03:00,2021-10-26 17:59:00,33,112.48484848484848,12.227575757575757,403.51,5,1,337,1,0,0,company,1
140,2022-09-28 16:15:00,2022-02-04 16:56:00,55,33.81818181818182,26.849454545454545,1476.72,18,6,235,2,0,1,market,0
141,2022-09-25 10:53:00,2021-10-01 13:23:00,18,268.05555555555554,27.427222222222223,493.69,4,3,358,5,0,0,public area,1
142,2022-09-14 14:32:00,2021-10-05 12:42:00,52,30.71153846153846,16.32423076923077,848.86,9,2,344,16,0,1,public institution,0
143,2022-09-30 08:51:00,2021-11-11 11:15:00,37,36.2972972972973,18.286756756756755,676.61,14,5,322,0,0,1,public institution,0
144,2022-09-14 13:17:00,2022-08-19 14:13:00,4,39.25,2.3275,9.31,4,4,25,16,0,0,market,0
145,2022-09-14 14:21:00,2022-08-17 14:30:00,2,30.0,24.240000000000002,48.480000000000004,2,1,27,16,0,1,market,0
146,2022-09-30 16:30:00,2021-10-17 15:09:00,73,42.657534246575345,17.687123287671234,1291.16,15,6,348,0,0,1,public parking lot,0
147,2022-09-14 14:22:00,2021-10-24 18:51:00,91,34.18681318681319,18.441758241758244,1678.2,44,9,324,16,0,1,public area,0
148,2022-09-29 19:25:00,2021-10-10 14:05:00,111,65.52252252252252,7.268738738738739,806.83,8,4,354,1,0,0,public institution,0
149,2022-09-14 12:18:00,2022-01-15 12:56:00,17,74.3529411764706,7.816470588235294,132.88,10,5,241,16,0,0,golf,0
150,2022-09-30 11:06:00,2021-10-11 10:23:00,118,55.940677966101696,17.0685593220339,2014.09,69,9,354,0,0,1,public area,0
151,2022-09-25 16:42:00,2022-05-14 20:35:00,36,294.8611111111111,37.37222222222223,1345.4,13,4,133,5,0,0,public institution,0
152,2022-09-28 13:54:00,2021-10-04 10:35:00,119,27.210084033613445,6.372268907563025,758.3,19,7,359,2,0,1,public parking lot,0
153,2022-09-22 08:02:00,2022-09-04 11:03:00,6,124.33333333333333,28.77,172.62,6,3,17,8,0,0,camping,0
154,2022-07-02 13:50:00,2022-01-14 16:44:00,4,109.5,18.287499999999998,73.14999999999999,4,3,168,90,1,1,market,0
155,2022-09-30 08:06:00,2022-07-06 16:40:00,12,159.66666666666666,16.775833333333335,201.31,5,2,85,0,0,0,public area,1
156,2022-09-29 16:14:00,2021-11-01 13:01:00,139,28.805755395683452,9.16338129496403,1273.71,39,7,332,1,0,1,public parking lot,0
157,2022-09-14 11:58:00,2022-09-12 15:11:00,2,66.0,28.965000000000003,57.93000000000001,2,2,1,16,0,1,restaurant,0
158,2022-09-30 16:11:00,2021-10-05 12:52:00,61,73.49180327868852,15.299344262295081,933.26,23,5,360,0,0,1,public area,0
159,2022-09-28 17:32:00,2021-11-17 10:12:00,65,122.44615384615385,7.064307692307692,459.18,13,5,315,2,0,0,public area,0
160,2022-09-30 17:29:00,2021-10-06 13:57:00,126,111.89682539682539,12.672380952380953,1596.72,5,1,359,0,0,0,company,1
161,2022-09-30 14:47:00,2021-11-19 17:41:00,128,82.0859375,12.940078125,1656.33,28,6,314,0,0,1,public institution,0
162,2022-09-28 10:15:00,2021-11-01 13:16:00,48,36.625,23.9825,1151.16,19,5,330,2,0,1,public parking lot,0
163,2022-09-25 12:01:00,2022-09-14 09:46:00,4,229.0,14.265,57.06,1,1,11,5,0,0,resort,0
164,2022-09-14 11:07:00,2021-10-13 07:44:00,16,33.125,15.7425,251.88,10,4,336,16,0,1,public parking lot,0
165,2022-09-30 08:50:00,2021-11-15 13:26:00,120,376.48333333333335,37.370250000000006,4484.43,4,3,318,0,0,0,market,1
166,2022-09-13 18:20:00,2022-09-12 20:21:00,2,994.0,44.055,88.11,1,1,0,17,0,0,hotel,0
167,2022-09-30 09:48:00,2021-10-17 16:31:00,192,25.380208333333332,8.750260416666666,1680.05,30,5,347,0,0,1,public area,0
168,2022-09-30 19:12:00,2022-02-24 22:45:00,46,35.28260869565217,29.66695652173913,1364.68,3,1,217,0,0,1,market,0
169,2022-09-29 08:15:00,2021-10-01 13:30:00,136,48.49264705882353,27.7275,3770.94,12,5,362,1,0,1,public parking lot,0
170,2022-09-13 17:03:00,2022-06-18 11:01:00,35,684.9714285714285,19.866,695.31,10,3,87,17,0,0,apartment,0
171,2022-09-30 16:45:00,2022-07-29 12:55:00,17,37.23529411764706,31.19588235294118,530.33,3,2,63,0,0,1,public area,0
172,2022-09-29 09:02:00,2021-10-02 08:07:00,126,209.83333333333334,18.74126984126984,2361.4,13,3,362,1,0,0,resort,0
173,2022-09-29 08:03:00,2021-10-01 07:54:00,63,92.85714285714286,48.73571428571429,3070.35,8,4,363,1,0,1,public institution,0
174,2022-09-26 20:32:00,2022-05-14 22:13:00,34,138.91176470588235,14.267941176470588,485.11,1,1,134,4,0,0,restaurant,1
175,2022-09-28 12:26:00,2022-07-04 17:42:00,10,27.8,26.673000000000002,266.73,5,4,85,2,0,1,public institution,0
176,2022-09-29 21:11:00,2022-05-27 21:28:00,62,172.80645161290323,12.511290322580646,775.7,13,7,124,1,0,0,public area,0
177,2022-09-30 09:47:00,2022-09-08 08:09:00,26,138.3846153846154,7.905384615384615,205.54,1,1,22,0,0,0,public area,1
178,2022-09-30 07:50:00,2022-05-27 08:03:00,60,69.48333333333333,7.912333333333334,474.74,3,1,125,0,0,0,public area,1
179,2022-09-30 14:27:00,2021-10-01 16:23:00,341,165.86217008797655,6.235953079178886,2126.46,12,6,363,0,0,0,apartment,1
180,2022-09-28 22:17:00,2021-11-23 17:42:00,94,150.7340425531915,8.931170212765958,839.53,13,6,309,2,0,0,apartment,0
181,2022-09-14 06:29:00,2022-09-14 06:29:00,1,151.0,15.95,15.95,1,1,0,16,0,0,restaurant,0
182,2022-09-27 08:25:00,2021-10-04 14:01:00,18,34.27777777777778,17.313333333333333,311.64,11,4,357,3,0,1,public area,0
183,2022-09-25 07:58:00,2022-07-15 02:49:00,22,269.59090909090907,29.635454545454547,651.98,5,1,72,5,0,0,camping,1
184,2022-09-28 15:51:00,2022-05-26 12:12:00,24,54.916666666666664,16.40875,393.81,21,7,125,2,0,1,public area,0
185,2022-09-30 15:49:00,2022-09-07 14:12:00,6,77.66666666666667,13.015,78.09,6,4,23,0,0,0,resort,0
186,2022-09-27 18:58:00,2021-10-06 18:34:00,126,221.12698412698413,14.783492063492064,1862.72,21,7,356,3,0,0,apartment,1
187,2022-09-28 00:00:00,2022-03-10 23:34:00,89,361.8876404494382,37.986516853932585,3380.8,2,1,201,2,0,0,apartment,1
188,2022-09-29 23:45:00,2022-06-22 11:10:00,38,230.89473684210526,28.224736842105262,1072.54,6,3,99,0,0,0,apartment,1
189,2022-09-30 09:29:00,2022-03-04 09:08:00,15,187.13333333333333,19.956666666666667,299.35,4,2,210,0,0,0,public area,1
190,2022-09-30 18:46:00,2022-04-06 21:49:00,63,325.92063492063494,34.333492063492066,2163.01,6,2,176,0,0,0,apartment,1
191,2022-09-25 20:57:00,2022-05-21 12:50:00,67,170.56716417910448,9.66402985074627,647.49,14,5,127,5,0,0,apartment,0
192,2022-09-30 10:26:00,2022-09-03 21:39:00,9,379.3333333333333,20.81888888888889,187.37,3,1,26,0,0,0,public institution,0
193,2022-09-29 10:46:00,2022-01-30 10:01:00,67,321.34328358208955,38.105522388059704,2553.07,9,4,242,1,0,0,company,0
194,2022-09-30 10:15:00,2021-10-03 22:23:00,149,368.7986577181208,19.42979865771812,2895.04,17,6,361,0,0,0,apartment,1
195,2022-09-23 18:48:00,2021-10-02 23:03:00,74,176.1216216216216,19.86027027027027,1469.66,6,1,355,7,0,0,apartment,1
196,2022-09-29 21:15:00,2021-10-16 17:13:00,63,135.8095238095238,7.099047619047619,447.24,20,5,348,1,0,0,public parking lot,0
197,2022-09-29 19:37:00,2022-08-13 10:24:00,21,183.23809523809524,10.744761904761905,225.64,3,2,47,1,0,0,public area,1
198,2022-09-30 10:44:00,2022-09-13 18:44:00,2,113.0,7.05,14.1,2,1,16,0,0,0,public institution,0
199,2022-09-27 21:57:00,2022-01-25 20:47:00,83,183.53012048192772,15.069036144578314,1250.73,5,1,245,3,0,0,apartment,1
200,2022-09-29 12:52:00,2022-08-05 18:48:00,14,228.07142857142858,14.98,209.72,3,3,54,1,0,0,apartment,1
201,2022-09-28 17:02:00,2022-08-03 18:09:00,32,86.625,11.78875,377.24,9,3,55,2,0,1,public parking lot,0
202,2022-09-27 16:21:00,2021-10-14 17:09:00,55,126.10909090909091,14.011818181818182,770.65,6,1,347,3,0,0,company,1
203,2022-09-27 17:33:00,2022-05-27 15:09:00,43,67.44186046511628,17.507906976744188,752.84,37,7,123,3,0,1,public area,0
204,2022-09-29 21:40:00,2022-04-14 07:47:00,38,263.9736842105263,25.96315789473684,986.6,7,1,168,1,0,0,apartment,1
205,2022-09-21 16:31:00,2021-11-13 22:09:00,40,342.625,31.13825,1245.53,13,6,311,9,0,0,apartment,0
206,2022-09-27 06:37:00,2022-07-25 11:21:00,18,279.8888888888889,28.542777777777776,513.77,6,3,63,3,0,0,company,0
207,2022-09-24 20:50:00,2021-10-25 17:59:00,22,57.22727272727273,30.841363636363635,678.51,8,5,334,6,0,1,public institution,0
